4360.0,oreye,Liège,None,,,
4030.0,grivegnée,Liège,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
2610.0,wilrijk,Antwerp,None,,,
4500.0,huy,Liège,None,,,
8200.0,sint-andries,West Flanders,None,,,
2170.0,merksem,Antwerp,None,,,
3201.0,langdorp,Flemish Brabant,None,,,
2610.0,wilrijk,Antwerp,None,,,
2610.0,wilrijk,Antwerp,None,,,
5100.0,jambes,Namur,None,,,
2610.0,wilrijk,Antwerp,None,,,
2660.0,hoboken,Antwerp,None,,,
1421.0,braine-l'alleud,Walloon Brabant,None,,,
2610.0,wilrijk,Antwerp,None,,,
1190.0,forest,Brussels,None,,,
6700.0,arlon,Luxembourg,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
4030.0,liège,Liège,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
2170.0,merksem,Antwerp,None,,,
2660.0,hoboken,Antwerp,None,,,
4000.0,liège,Liège,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
2040.0,zandvliet,Antwerp,None,,,
2170.0,merksem,Antwerp,None,,,
4020.0,liège,Liège,None,,,
2610.0,wilrijk,Antwerp,None,,,
2812.0,muizen,Antwerp,None,,,
2610.0,wilrijk,Antwerp,None,,,
8310.0,sint-kruis,West Flanders,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
4020.0,jupille-sur-meuse,Liège,None,,,
7090.0,braine-le-comte,Hainaut,None,,,
4000.0,liège,Liège,None,,,
4031.0,angleur,Liège,None,,,
8200.0,sint-andries,West Flanders,None,,,
1703.0,schepdaal,Flemish Brabant,None,,,
4020.0,liège,Liège,None,,,
4030.0,grivegnée,Liège,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
1190.0,forest,Brussels,None,,,
2610.0,wilrijk,Antwerp,None,,,
8434.0,westende,West Flanders,None,,,
4000.0,liège,Liège,None,,,
7760.0,hoboken,Hainaut,None,,,
2170.0,merksem,Antwerp,None,,,
2170.0,merksem,Antwerp,None,,,
4041.0,vottem,Liège,None,,,
2170.0,merksem,Antwerp,None,,,
2660.0,hoboken,Antwerp,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
2170.0,merksem,Antwerp,None,,,
1120.0,neder-over-heembeek,Brussels,None,,,
9030.0,mariakerke,East Flanders,None,,,
8434.0,westende,West Flanders,None,,,
2170.0,merksem,Antwerp,None,,,
4000.0,liège,Liège,None,,,
6792.0,halanzy,Luxembourg,None,,,
2040.0,zandvliet,Antwerp,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
8200.0,sint-michiels,West Flanders,None,,,
6040.0,jumet,Hainaut,None,,,
6791.0,athus,Luxembourg,None,,,
6700.0,arlon,Luxembourg,None,,,
8434.0,westende,West Flanders,None,,,
4020.0,liège,Liège,None,,,
2610.0,wilrijk,Antwerp,None,,,
6792.0,halanzy,Luxembourg,None,,,
4041.0,vottem,Liège,None,,,
5000.0,namur,Namur,None,,,
4020.0,liège,Liège,None,,,
4000.0,liège,Liège,None,,,
4683.0,vivegnis,Liège,None,,,
4030.0,grivegnée,Liège,None,,,
4121.0,neuville-en-condroz,Liège,None,,,
2610.0,wilrijk,Antwerp,None,,,
4020.0,jupille-sur-meuse,Liège,None,,,
8581.0,waarmaarde,West Flanders,None,,,
4031.0,liège,Liège,None,,,
4020.0,liège,Liège,None,,,
6700.0,arlon,Luxembourg,None,,,
1390.0,grez-doiceau,Walloon Brabant,None,,,
5000.0,namur,Namur,None,,,
4000.0,liège,Liège,None,,,
9041.0,oostakker,East Flanders,None,,,
2610.0,wilrijk,Antwerp,None,,,
2600.0,berchem (2600),Antwerp,None,,,
4030.0,liège,Liège,None,,,
4500.0,huy,Liège,None,,,
4030.0,grivegnée,Liège,None,,,
4000.0,liège,Liège,None,,,
9310.0,herdersem,East Flanders,None,,,
2610.0,wilrijk,Antwerp,None,,,
2660.0,hoboken,Antwerp,None,,,
1370.0,jodoigne,Walloon Brabant,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
1420.0,braine-l'alleud,Walloon Brabant,None,,,
2660.0,hoboken,Antwerp,None,,,
4020.0,liège,Liège,None,,,
8434.0,westende,West Flanders,None,,,
8434.0,westende,West Flanders,None,,,
1190.0,forest,Brussels,None,,,
1120.0,neder-over-heembeek,Brussels,None,,,
8200.0,sint-andries,West Flanders,None,,,
6700.0,arlon,Luxembourg,None,,,
4020.0,liège,Liège,None,,,
4000.0,liège,Liège,None,,,
4000.0,liège,Liège,None,,,
4053.0,embourg,Liège,None,,,
2610.0,wilrijk,Antwerp,None,,,
6700.0,toernich,Luxembourg,None,,,
4000.0,liège,Liège,None,,,
4020.0,liège,Liège,None,,,
8434.0,westende,West Flanders,None,,,
4600.0,visé,Liège,None,,,
8501.0,heule,West Flanders,None,,,
6700.0,arlon,Luxembourg,None,,,
8793.0,sint-eloois-vijve,West Flanders,None,,,
4000.0,liège,Liège,None,,,
4000.0,liège,Liège,None,,,
1190.0,forest,Brussels,None,,,
9052.0,zwijnaarde,East Flanders,None,,,
4053.0,embourg,Liège,None,,,
4041.0,vottem,Liège,None,,,
1933.0,sterrebeek,Flemish Brabant,None,,,
4000.0,liège,Liège,None,,,
4000.0,liège,Liège,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
4041.0,milmort,Liège,None,,,
9040.0,sint-amandsberg,East Flanders,None,,,
4020.0,liège,Liège,None,,,
1390.0,grez-doiceau,Walloon Brabant,None,,,
1190.0,forest,Brussels,None,,,
4000.0,liège,Liège,None,,,
4020.0,liège,Liège,None,,,
9052.0,zwijnaarde,East Flanders,None,,,
1190.0,forest,Brussels,None,,,
2170.0,merksem,Antwerp,None,,,
2610.0,wilrijk,Antwerp,None,,,
4000.0,liège,Liège,None,,,
1190.0,forest,Brussels,None,,,
9041.0,oostakker,East Flanders,None,,,
4000.0,liège,Liège,None,,,
6060.0,gilly,Hainaut,None,,,
4000.0,liège,Liège,None,,,
4500.0,huy,Liège,None,,,
2660.0,hoboken,Antwerp,None,,,
