locality,unified_locality
antwerpen,antwerpen
antwerpen,antwerpen
antwerpen,antwerpen
woluwe-saint-pierre,woluwe-saint-pierre
dendermonde,dendermonde
boom,boom
antwerpen,antwerpen
herenthout,herenthout
ledeberg,ledeberg
deurne,veurne
deurne,veurne
borgerhout,borgerhout
izegem,izegem
herentals,herentals
vorselaar,vorselaar
olen,olen
sint-niklaas,sint-niklaas
noorderwijk,noorderwijk
mortsel,mortsel
borgerhout,borgerhout
hoogstraten,hoogstraten
herentals,herentals
deurne,veurne
beerse,beerse
deinze,deinze
hamme,hamme
evere,evere
beernem,beernem
deurne (),deurne
ronse,ronse
mortsel,mortsel
linkebeek,linkebeek
leuven,leuven
geraardsbergen,geraardsbergen
jette,jette
heist-aan-zee,heist-aan-zee
sint-pieters-woluwe,sint-pieters-woluwe
evere,evere
houffalize,houffalize
maarkedal,maarkedal
sint-agatha-berchem,sint-agatha-berchem
uccle,uccle
gent,gent
kapellen,kapellen
bruxelles,bruxelles
sint-lenaarts,sint-lenaarts
aalst,aalst
lille,lille
herentals,herentals
ruddervoorde,ruddervoorde
ixelles,ixelles
antwerpen ,antwerpen
ieper,ieper
borgerhout,borgerhout
berchem,merchtem
bekkevoort,bekkevoort
bruxelles,bruxelles
wavre,wavre
diksmuide,diksmuide
balen,balen
kontich,kontich
aalst (),aalst
kalmthout,kalmthout
schaerbeek,schaerbeek
kontich,kontich
borgerhout,borgerhout
uccle,uccle
s,s
herstal,herstal
anderlecht,anderlecht
gent,gent
sint-niklaas,sint-niklaas
hove,hove
antwerpen,antwerpen
diest,diest
rijkevorsel,rijkevorsel
geel,geel
deurne,veurne
beerse,beerse
herenthout,herenthout
evergem,evergem
lier,lier
geraardsbergen,geraardsbergen
woluwe-saint-lambert,woluwe-saint-lambert
tienen,tienen
merelbeke,merelbeke
roeselare,roeselare
vilvoorde,vilvoorde
brasschaat,brasschaat
ledegem,ledegem
lierde,lierde
hamont-achel,hamont-achel
villers-sur-lesse,villers-sur-lesse
onze-lieve-vrouw-lombeek,onze-lieve-vrouw-lombeek
gent wondelgem,gent wondelgem
hamme,hamme
antwerpen,antwerpen
gent,gent
nieuwpoort,nieuwpoort
ieper,ieper
genk,genk
nijlen,nijlen
lommel,lommel
koekelberg,koekelberg
hoegaarden,hoegaarden
linter,linter
flémalle,flémalle
gooik,gooik
denderleeuw,denderleeuw
rochefort,rochefort
molenbeek-saint-jean,molenbeek-saint-jean
geel,geel
diksmuide,diksmuide
vorselaar,vorselaar
deurne,veurne
essen,essen
herselt,herselt
hemiksem,hemiksem
westerlo,westerlo
zoersel,zoersel
balen,balen
geel,geel
zoersel,zoersel
woluwe-saint-lambert,woluwe-saint-lambert
gent,gent
lendelede,lendelede
sint-katelijne-waver,sint-katelijne-waver
antwerpen,antwerpen
zelzate,zelzate
willebroek,willebroek
genk,genk
uccle,uccle
laeken,laeken
brugge,brugge
lier,lier
berlaar,berlaar
