1160.0,auderghem,Brussels,Postal Code,1160.0,31.185,50.8103 4.4374
3000.0,leuven,Flemish Brabant,Postal Code,3000.0,29.834,50.8821 4.7058
1000.0,brussels,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
2500.0,lier,Antwerp,Postal Code,2500.0,27.911,51.1195 4.5745
1150.0,woluwe-saint-pierre,Brussels,Postal Code,1150.0,34.69,50.8335 4.4505
9000.0,gent,East Flanders,Postal Code,9000.0,27.371,51.0743 3.7254
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2160.0,wommelgem,Antwerp,Postal Code,2160.0,29.038,51.205 4.522
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
1160.0,auderghem,Brussels,Postal Code,1160.0,31.185,50.8103 4.4374
9550.0,herzele,East Flanders,Postal Code,9550.0,30.466,50.8703 3.8924
9660.0,brakel,East Flanders,Postal Code,9660.0,29.5,50.797 3.749
9300.0,aalst,East Flanders,Locality,aalst,27.791,50.9446 4.0687
2140.0,borgerhout,Antwerp,Locality,boechout,30.579,51.1605 4.5105
9700.0,oudenaarde,East Flanders,Postal Code,9700.0,29.192,50.8535 3.6209
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2960.0,brecht,Antwerp,Postal Code,2960.0,30.339,51.329 4.594
9260.0,serskamp,East Flanders,Postal Code,9260.0,30.22,50.9987 3.9535
9080.0,lochristi,East Flanders,Postal Code,9080.0,31.275,51.1032 3.8571
1150.0,woluwe-saint-pierre,Brussels,Postal Code,1150.0,34.69,50.8335 4.4505
2140.0,borgerhout,Antwerp,Locality,boechout,30.579,51.1605 4.5105
6830.0,bouillon,Luxembourg,Postal Code,6830.0,24.705,49.806 5.0831
2860.0,sint-katelijne-waver,Antwerp,Postal Code,2860.0,30.654,51.0625 4.5455
2960.0,brecht,Antwerp,Postal Code,2960.0,30.339,51.329 4.594
8530.0,harelbeke,West Flanders,Postal Code,8530.0,28.42,50.8638 3.3074
8790.0,waregem,West Flanders,Postal Code,8790.0,28.848,50.878 3.419
1140.0,evere,Brussels,Postal Code,1140.0,23.317,50.869 4.407
8300.0,knokke-heist,West Flanders,Postal Code,8300.0,28.421,51.3325 3.3077
1080.0,molenbeek-saint-jean,Brussels,Postal Code,1080.0,19.739,50.8551 4.3182
1040.0,etterbeek,Brussels,Postal Code,1040.0,27.332,50.833 4.3947
1180.0,uccle,Brussels,Postal Code,1180.0,28.8,50.7899 4.3614
2500.0,lier,Antwerp,Postal Code,2500.0,27.911,51.1195 4.5745
4040.0,herstal,Liège,Postal Code,4040.0,23.921,50.6815 5.6065
8570.0,anzegem,West Flanders,Postal Code,8570.0,29.745,50.8308 3.454
1160.0,auderghem,Brussels,Postal Code,1160.0,31.185,50.8103 4.4374
9660.0,brakel,East Flanders,Postal Code,9660.0,29.5,50.797 3.749
1950.0,kraainem,Flemish Brabant,Postal Code,1950.0,36.531,50.8456 4.4714
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2547.0,lint,Antwerp,Postal Code,2547.0,31.141,51.129 4.511
2020.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
2547.0,lint,Antwerp,Postal Code,2547.0,31.141,51.129 4.511
2018.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
2050.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
9230.0,wetteren,East Flanders,Postal Code,9230.0,28.519,50.9945 3.8703
2560.0,kessel,Antwerp,Postal Code,2560.0,29.812,51.1515 4.6855
