iter	Passed	Remaining
418	2363	6096
419	2367	6089
420	2372	6079
421	2377	6072
422	2381	6063
423	2386	6055
424	2389	6044
425	2393	6035
426	2398	6028
427	2402	6017
428	2407	6011
429	2413	6004
430	2418	5998
431	2423	5992
432	2427	5981
433	2432	5974
434	2436	5965
435	2441	5957
436	2445	5949
437	2450	5942
438	2456	5936
439	2460	5928
440	2465	5920
441	2468	5909
442	2473	5902
443	2477	5892
444	2482	5885
445	2488	5880
446	2496	5880
447	2501	5873
448	2507	5869
449	2514	5868
450	2520	5861
451	2525	5856
452	2530	5847
453	2534	5840
454	2541	5836
455	2547	5831
456	2551	5824
457	2556	5816
458	2561	5809
459	2565	5801
460	2571	5795
461	2576	5789
462	2581	5782
463	2586	5775
464	2591	5768
465	2597	5764
466	2602	5756
467	2607	5750
468	2613	5745
469	2617	5736
470	2623	5730
471	2628	5724
472	2633	5718
473	2639	5712
474	2644	5705
475	2648	5696
476	2653	5690
477	2658	5683
478	2662	5674
479	2667	5668
480	2672	5662
481	2677	5654
482	2682	5648
483	2687	5641
484	2692	5634
485	2697	5628
486	2702	5621
487	2708	5615
488	2712	5607
489	2717	5600
490	2722	5594
491	2727	5588
492	2732	5581
493	2737	5575
494	2742	5568
495	2747	5562
496	2752	5555
497	2758	5549
498	2763	5542
499	2768	5537
500	2773	5531
501	2778	5523
502	2783	5516
503	2787	5508
504	2792	5501
505	2797	5494
506	2803	5490
507	2808	5484
508	2813	5478
509	2818	5471
510	2823	5464
511	2827	5456
512	2832	5450
513	2838	5444
514	2842	5437
515	2848	5432
516	2854	5427
517	2859	5420
518	2862	5410
519	2867	5404
520	2871	5396
521	2876	5389
522	2880	5380
523	2884	5373
524	2890	5367
525	2895	5361
526	2900	5356
527	2906	5350
528	2910	5343
529	2916	5336
530	2920	5330
531	2926	5325
532	2932	5320
533	2937	5314
534	2943	5308
535	2950	5306
536	2956	5301
537	2960	5293
538	2965	5288
539	2971	5283
540	2977	5277
541	2985	5276
542	2992	5274
543	2998	5269
544	3004	5264
545	3009	5258
546	3015	5252
547	3020	5247
548	3025	5240
549	3032	5237
550	3037	5230
551	3043	5226
552	3047	5218
553	3058	5222
554	3072	5231
555	3085	5238
556	3096	5242
557	3107	5246
558	3118	5248
559	3127	5250
560	3136	5249
561	3144	5248
562	3151	5245
563	3156	5239
564	3164	5236
565	3170	5231
566	3176	5227
567	3182	5221
568	3187	5215
569	3193	5209
570	3198	5204
571	3204	5198
572	3209	5192
573	3214	5185
574	3219	5179
575	3224	5172
576	3228	5164
577	3233	5158
578	3238	5151
579	3243	5145
580	3248	5137
581	3253	5131
582	3257	5124
583	3262	5117
584	3267	5110
585	3271	5102
586	3275	5094
587	3280	5087
588	3284	5080
589	3289	5073
590	3294	5066
591	3299	5060
592	3304	5053
593	3308	5045
594	3312	5039
595	3317	5032
596	3322	5026
597	3327	5019
598	3332	5012
599	3336	5004
600	3341	4998
601	3346	4991
602	3350	4983
603	3355	4977
604	3360	4970
605	3364	4963
606	3370	4958
607	3375	4951
608	3379	4944
609	3383	4936
610	3388	4930
611	3391	4921
612	3396	4914
613	3400	4907
614	3406	4902
615	3411	4896
616	3416	4889
617	3422	4884
618	3427	4878
619	3432	4872
620	3438	4866
621	3444	4861
622	3450	4857
623	3456	4852
624	3462	4847
625	3468	4843
626	3475	4839
627	3481	4833
628	3487	4829
629	3495	4826
630	3500	4821
631	3509	4819
632	3514	4813
633	3522	4811
634	3529	4808
635	3536	4804
636	3542	4799
637	3547	4793
638	3555	4790
639	3561	4785
640	3567	4781
641	3574	4776
642	3579	4770
643	3585	4766
644	3590	4759
645	3595	4753
646	3601	4747
647	3607	4742
648	3612	4736
649	3617	4730
650	3623	4725
651	3630	4721
652	3638	4719
653	3643	4713
654	3647	4705
655	3652	4699
656	3656	4692
657	3660	4684
658	3665	4677
659	3670	4671
660	3675	4665
661	3681	4660
662	3686	4654
663	3692	4648
664	3696	4640
665	3699	4633
666	3705	4627
667	3711	4622
668	3715	4615
669	3720	4609
670	3725	4602
671	3731	4597
672	3735	4590
673	3738	4581
674	3743	4575
675	3748	4569
676	3754	4564
677	3760	4559
678	3764	4552
679	3770	4547
680	3777	4542
681	3781	4535
682	3787	4530
683	3791	4522
684	3796	4516
685	3802	4511
686	3819	4519
687	3836	4528
688	3851	4533
689	3861	4533
690	3871	4532
691	3880	4530
692	3889	4529
693	3897	4526
694	3907	4525
695	3915	4522
696	3921	4518
697	3929	4515
698	3935	4509
699	3940	4503
700	3945	4497
701	3948	4488
702	3954	4483
703	3959	4477
704	3965	4471
705	3970	4464
706	3973	4457
707	3979	4451
708	3983	4444
709	3987	4436
710	3991	4429
711	3996	4423
712	4001	4416
713	4006	4410
714	4009	4401
715	4014	4395
716	4018	4388
717	4024	4383
718	4029	4376
719	4034	4370
720	4039	4364
721	4044	4357
722	4049	4351
723	4053	4344
724	4057	4337
725	4062	4331
726	4069	4326
727	4073	4319
728	4078	4313
729	4083	4307
730	4089	4302
731	4093	4294
732	4097	4287
733	4102	4280
734	4107	4274
735	4110	4267
736	4115	4261
737	4121	4255
738	4126	4249
739	4130	4242
740	4135	4236
741	4152	4242
742	4162	4241
743	4175	4243
744	4193	4249
745	4209	4254
746	4219	4253
747	4228	4251
748	4234	4246
749	4242	4242
750	4248	4237
751	4255	4233
752	4262	4228
753	4266	4221
754	4271	4215
755	4278	4210
756	4283	4204
757	4288	4198
758	4294	4192
759	4299	4186
760	4305	4181
761	4310	4174
762	4313	4166
763	4318	4159
764	4322	4153
765	4327	4146
766	4331	4139
767	4336	4133
768	4341	4126
769	4344	4118
770	4348	4111
771	4353	4105
772	4359	4099
773	4363	4093
774	4368	4086
775	4372	4079
776	4377	4073
777	4382	4067
778	4387	4061
779	4392	4054
780	4396	4047
781	4400	4040
782	4405	4034
783	4409	4027
784	4413	4020
785	4418	4014
786	4423	4007
787	4428	4001
788	4431	3993
789	4436	3987
790	4441	3980
791	4445	3974
792	4450	3967
793	4456	3962
794	4460	3955
795	4464	3948
796	4468	3941
797	4473	3935
798	4478	3929
799	4483	3923
800	4489	3918
801	4495	3912
802	4500	3906
803	4505	3900
804	4510	3893
805	4515	3887
806	4519	3880
807	4523	3873
808	4528	3867
809	4534	3862
810	4539	3856
811	4543	3849
812	4547	3842
813	4552	3836
814	4555	3829
815	4560	3822
816	4564	3815
817	4567	3808
818	4572	3801
819	4576	3794
820	4581	3788
821	4586	3783
822	4592	3777
823	4597	3771
824	4603	3766
825	4608	3760
826	4615	3756
827	4620	3750
828	4625	3743
829	4629	3736
830	4632	3729
831	4637	3723
832	4641	3716
833	4646	3710
834	4650	3703
835	4655	3697
836	4660	3691
837	4665	3685
838	4670	3679
839	4676	3674
840	4681	3668
841	4686	3662
842	4690	3655
843	4695	3649
844	4703	3645
845	4710	3641
846	4717	3636
847	4721	3630
848	4727	3624
849	4732	3618
850	4737	3613
851	4742	3606
852	4747	3601
853	4751	3594
854	4756	3588
855	4761	3582
856	4766	3576
857	4771	3570
858	4775	3563
859	4780	3557
860	4785	3551
861	4790	3545
862	4797	3541
863	4802	3535
864	4807	3529
865	4813	3523
866	4818	3518
867	4823	3511
868	4828	3506
869	4833	3500
870	4838	3494
871	4844	3488
872	4849	3482
873	4853	3476
874	4858	3470
875	4863	3464
876	4868	3458
877	4872	3451
878	4878	3446
879	4883	3440
880	4887	3434
881	4892	3427
882	4898	3422
883	4904	3417
884	4908	3411
885	4914	3405
886	4919	3399
887	4924	3394
888	4930	3388
889	4934	3382
890	4939	3376
891	4944	3370
892	4947	3363
893	4952	3357
894	4957	3351
895	4961	3344
896	4966	3338
897	4971	3333
898	4977	3327
899	4981	3321
900	4987	3315
901	4993	3310
902	4999	3305
903	5005	3299
904	5009	3293
905	5012	3286
906	5019	3281
907	5023	3275
908	5039	3276
909	5051	3275
910	5063	3273
911	5076	3273
912	5087	3270
913	5095	3266
914	5104	3263
915	5114	3260
916	5121	3256
917	5126	3250
918	5134	3246
919	5142	3241
920	5146	3235
921	5152	3230
922	5158	3225
923	5164	3219
924	5169	3213
925	5175	3207
926	5181	3202
927	5186	3197
928	5192	3191
929	5198	3186
930	5204	3181
931	5209	3175
932	5214	3168
933	5219	3163
934	5224	3156
935	5229	3151
936	5233	3144
937	5239	3139
938	5244	3133
939	5248	3126
940	5253	3120
941	5257	3114
942	5262	3108
943	5268	3102
944	5273	3097
945	5277	3090
946	5282	3084
947	5287	3078
948	5291	3072
949	5297	3066
950	5302	3061
951	5307	3055
952	5313	3049
953	5317	3043
954	5323	3037
955	5327	3031
956	5332	3025
957	5338	3020
958	5342	3013
959	5347	3007
960	5352	3002
961	5357	2996
962	5363	2990
963	5367	2984
964	5372	2978
965	5377	2972
966	5383	2967
967	5387	2961
968	5392	2954
969	5396	2948
970	5402	2943
971	5406	2936
972	5410	2930
973	5414	2924
974	5419	2918
975	5423	2911
976	5428	2905
977	5431	2898
978	5436	2893
979	5455	2894
980	5466	2892
981	5479	2890
982	5492	2888
983	5503	2886
984	5515	2883
985	5523	2879
986	5533	2875
987	5539	2870
988	5546	2865
989	5552	2860
990	5559	2855
991	5563	2849
992	5571	2844
993	5578	2839
994	5584	2834
995	5590	2828
996	5597	2824
997	5602	2818
998	5608	2812
999	5613	2806
1000	5618	2800
1001	5623	2794
1002	5627	2788
1003	5632	2782
1004	5637	2776
1005	5641	2770
1006	5647	2764
1007	5651	2758
1008	5656	2752
1009	5661	2746
1010	5666	2740
1011	5671	2734
1012	5677	2729
1013	5684	2724
1014	5702	2725
1015	5717	2723
1016	5731	2722
1017	5743	2719
1018	5752	2715
1019	5762	2711
1020	5769	2706
1021	5777	2702
1022	5782	2696
1023	5789	2691
1024	5796	2686
1025	5802	2680
1026	5809	2675
1027	5813	2669
1028	5819	2663
1029	5825	2658
1030	5832	2653
1031	5837	2647
1032	5842	2641
1033	5846	2634
1034	5851	2628
1035	5855	2622
1036	5861	2617
1037	5865	2610
1038	5872	2605
1039	5877	2599
1040	5884	2594
1041	5889	2588
1042	5894	2582
1043	5898	2576
1044	5902	2569
1045	5906	2563
1046	5910	2557
1047	5916	2551
1048	5920	2545
1049	5925	2539
1050	5930	2533
1051	5935	2527
1052	5940	2521
1053	5944	2515
1054	5949	2509
1055	5952	2502
1056	5957	2496
1057	5961	2490
1058	5966	2484
1059	5972	2479
1060	5976	2472
1061	5980	2466
1062	5985	2460
1063	5989	2454
1064	5993	2448
1065	5997	2441
1066	6002	2436
1067	6007	2430
1068	6012	2424
1069	6017	2418
1070	6022	2412
1071	6028	2407
1072	6033	2401
1073	6039	2395
1074	6043	2389
1075	6048	2383
1076	6051	2376
1077	6056	2370
1078	6060	2364
1079	6067	2359
1080	6072	2353
1081	6077	2348
1082	6083	2342
1083	6088	2336
1084	6093	2330
1085	6099	2325
1086	6102	2318
1087	6106	2312
1088	6110	2306
1089	6115	2300
1090	6120	2294
1091	6124	2288
1092	6130	2282
1093	6134	2276
1094	6139	2270
1095	6143	2264
1096	6148	2258
1097	6153	2252
1098	6159	2247
1099	6164	2241
1100	6169	2235
1101	6174	2230
1102	6179	2224
1103	6184	2218
1104	6189	2212
1105	6195	2207
1106	6201	2201
1107	6206	2195
1108	6212	2190
1109	6230	2189
1110	6245	2186
1111	6258	2183
1112	6268	2179
1113	6278	2175
1114	6287	2171
1115	6295	2166
1116	6304	2161
1117	6311	2156
1118	6318	2151
1119	6324	2145
1120	6330	2140
1121	6336	2134
1122	6342	2129
1123	6348	2123
1124	6355	2118
1125	6361	2113
1126	6367	2107
1127	6371	2101
1128	6376	2095
1129	6384	2090
1130	6390	2084
1131	6395	2079
1132	6401	2073
1133	6406	2067
1134	6412	2062
1135	6417	2056
1136	6422	2050
1137	6427	2044
1138	6431	2038
1139	6436	2032
1140	6442	2026
1141	6447	2021
1142	6452	2015
1143	6457	2009
1144	6463	2003
1145	6468	1998
1146	6473	1992
1147	6477	1986
1148	6482	1980
1149	6486	1974
1150	6492	1968
1151	6497	1962
1152	6501	1956
1153	6507	1951
1154	6512	1945
1155	6516	1939
1156	6521	1933
1157	6524	1927
1158	6529	1921
1159	6532	1914
1160	6538	1909
1161	6542	1903
1162	6548	1897
1163	6554	1891
1164	6559	1886
1165	6564	1880
1166	6570	1874
1167	6575	1869
1168	6580	1863
1169	6584	1857
1170	6591	1851
1171	6594	1845
1172	6599	1839
1173	6605	1834
1174	6610	1828
1175	6615	1822
1176	6621	1817
1177	6626	1811
1178	6631	1805
1179	6636	1799
1180	6642	1794
1181	6647	1788
1182	6651	1782
1183	6657	1776
1184	6662	1770
1185	6666	1765
1186	6670	1759
1187	6675	1753
1188	6680	1747
1189	6685	1741
1190	6689	1735
1191	6695	1729
1192	6699	1724
1193	6705	1718
1194	6710	1712
1195	6715	1706
1196	6719	1700
1197	6725	1695
1198	6729	1689
1199	6733	1683
1200	6739	1677
1201	6744	1672
1202	6748	1666
1203	6754	1660
1204	6759	1654
1205	6765	1649
1206	6769	1643
1207	6775	1637
1208	6779	1631
1209	6793	1628
1210	6804	1623
1211	6818	1620
1212	6829	1615
1213	6841	1611
1214	6852	1607
1215	6861	1602
1216	6872	1598
1217	6881	1593
1218	6888	1587
1219	6895	1582
1220	6902	1577
1221	6910	1572
1222	6916	1566
1223	6922	1560
1224	6927	1555
1225	6933	1549
1226	6938	1543
1227	6944	1538
1228	6989	1541
1229	7019	1540
1230	7025	1535
1231	7031	1529
1232	7036	1523
1233	7041	1517
1234	7047	1512
1235	7051	1506
1236	7055	1500
1237	7060	1494
1238	7066	1488
1239	7071	1482
1240	7077	1477
1241	7082	1471
